"","male","black","white","edu","birthmonth","h_sentscore1972","birthyear","birthstate","hours","age","inc_labor","int_id","hhchildren","married","fam_inc","workexp","hhdens","inc_wcomp","inc_unemp","inc_trans_pub","inc_ssi","inc_othwelf","inc_fdstmp","inc_ch","inc_afdc","m_edu","f_edu","f_inc_labor","m_inc_labor","m_prison","f_prison","prison","region","state","study","works","head","wife"
"1212",0,0,1,12,11,9,1943,NA,1295,37,11856,1034,1,1,123006,9,0.899999976158142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,0,1,NA,1
"1247",0,0,1,17,8,10,1956,37,2205,25,39520,4330,0,1,78793,2,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,37,0,1,NA,1
"1264",0,0,1,12,9,9,1949,NA,1640,32,14943.5,5744,0,0,14943.5,8,0.200000002980232,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,0,1,31,0,0,1,0
"1313",0,1,0,12,6,9,1924,NA,1785,56,29640,2985,0,NA,87823.3203125,22,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,37,0,1,NA,1
"1328",1,0,1,16,8,12,1926,NA,2300,55,74100,3454,0,1,113620,31,0.300000011920929,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,37,0,1,1,0
"1334",0,0,1,12,1,10,1942,NA,1920,40,24206,3478,1,1,74100,16,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,0,1,NA,1
"1345",1,0,1,17,7,9,1953,4,1879,28,28286.439453125,2077,0,0,30818.189453125,4,1,0,0,0,0,0,0,0,0,15,16,48165,32110,0,0,0,4,4,0,1,1,0
"1358",0,0,1,12,5,10,1943,NA,0,38,0,134,2,1,46930,4,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,37,0,0,NA,1
"1371",1,0,1,17,11,12,1948,NA,1905,33,64032.28125,5769,2,1,68651.1796875,6,0.699999988079071,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,24,0,1,1,0
"1374",0,0,1,12,2,10,1926,NA,1189,56,14820,1727,0,NA,32645.990234375,15,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,14,0,1,NA,1
"1419",0,0,1,12,1,8,1956,20,260,26,3211,5701,2,1,72371,3,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,12,11,61750,1482,0,0,0,1,20,0,0,NA,1
"1427",1,0,1,16,12,11,1952,42,2794,29,51870,5384,0,1,89414,3,0.300000011920929,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,42,0,1,1,0
"1431",1,0,1,16,3,11,1927,NA,1806,55,108680,2601,0,1,164255,29,0.300000011920929,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,46,0,1,1,0
"1490",0,0,1,11,10,11,1941,NA,1421,40,18428.669921875,434,1,1,70187.5234375,15,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,48,0,1,NA,1
"1495",0,0,1,12,3,11,1944,NA,992,38,9633,2213,3,NA,73976.5,6,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,21,0,1,NA,1
"1506",0,1,0,14,10,4,1953,10,1960,28,26429,6297,1,1,51129,6,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,4940,0,NA,0,3,10,0,1,NA,1
"1544",0,0,1,12,12,9,1950,NA,1755,31,4446,5212,2,1,64343.5,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,9,0,1,NA,1
"1546",0,0,1,14,9,10,1951,23,1278,30,17290,4736,1,1,62256.3515625,7,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,2,0,1,NA,1
"1583",0,0,1,12,4,10,1947,NA,1092,35,9880,4253,3,NA,56370.33984375,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,0,1,NA,1
"1584",0,0,1,16,9,11,1943,NA,1040,38,42385.19921875,3440,3,1,104258.703125,8,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,38,0,1,NA,1
"1608",0,0,1,16,7,9,1936,NA,104,45,2470,4786,3,1,158574,2,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,20,0,1,NA,1
