"","male","black","white","edu","birthmonth","h_sentscore1972","birthyear","hours","age","inc_labor","int_id","hhchildren","married","fam_inc","hhdens","inc_unemp","inc_trans_pub","inc_ssi","inc_othwelf","inc_fdstmp","inc_al","inc_afdc","m_edu","f_edu","f_inc_labor","m_inc_labor","m_prison","f_prison","prison","region","state","med15","occ","study","works","head","wife"
"5121",1,0,1,12,5,12,1929,1952,43,79660,2341,3,1,108110,0.899999976158142,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,13,NA,85,0,1,1,0
"5142",0,0,1,10,6,11,1929,0,42,0,1454,2,NA,62590,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,9,NA,NA,NA,NA,NA,1
"5144",0,0,1,12,4,13,1934,0,38,0,3908,3,1,105265,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,21,NA,NA,NA,NA,NA,1
"5163",1,0,1,16,4,12,1945,2370,26,17070,3832,0,1,19915,2,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,28,NA,61,0,1,1,0
"5188",1,0,1,16,8,7,1946,2354,26,68280,894,1,1,76815,0.5,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,3,NA,61,0,1,1,0
"5191",1,0,1,10,12,11,1926,2000,45,50072,2896,1,1,95774.078125,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,6,3,32,0,1,1,0
"5300",0,0,1,17,11,11,1931,208,40,3698.5,1135,1,1,104622.03125,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,21,NA,NA,NA,NA,NA,1
"5301",0,0,1,12,4,8,1936,2080,35,28450,2222,1,1,68280,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,32,NA,NA,NA,NA,NA,1
"5347",0,0,1,10,2,11,1942,80,30,284.5,4606,4,1,42390.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,10,NA,NA,NA,NA,NA,1
"5366",1,0,1,12,1,10,1934,2500,38,72263,1121,4,1,84001.46875,0.899999976158142,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,18,NA,55,0,1,1,0
