"","male","black","white","edu","birthmonth","h_sentscore1972","birthyear","hours","age","inc_labor","int_id","hhchildren","married","fam_inc","workexp","hhdens","inc_wcomp","inc_unemp","inc_trans_pub","inc_ssi","inc_othwelf","inc_fdstmp","inc_ch","inc_afdc","m_edu","f_edu","f_inc_labor","m_inc_labor","m_prison","f_prison","prison","region","state","study","works","head","wife"
"9870",1,0,1,14,12,12,1954,2825,26,42182,1009,3,1,47422,4,0.800000011920929,0,0,0,0,0,0,0,0,12,16,0,353.700012207031,0,0,0,4,27,0,1,1,0
"9894",1,0,1,12,3,10,1953,1992,27,42968,1191,2,1,42968,5,0.800000011920929,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,34,0,1,1,0
"9904",0,0,1,17,4,12,1953,1787,27,34248.640625,3354,0,0,34269.6015625,9,0.5,0,0,0,0,0,0,0,0,16,16,0,0,0,0,0,4,4,0,1,1,0
"9930",1,0,1,10,7,9,1931,1880,49,78600,775,0,1,103330.1796875,19,0.300000011920929,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,5,0,1,1,0
"9936",1,0,1,9,5,7,1929,937,51,13380.33984375,5287,0,0,32155.259765625,28,0.5,0,0,5879.27978515625,5879.27978515625,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,37,0,0,1,0
"9964",1,0,1,16,1,10,1946,120,34,1310,2867,1,1,17318.19921875,12,0.400000005960464,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,24,1,0,1,0
"9971",1,0,1,7,12,12,1932,1312,48,31440,1072,0,1,68746.1796875,25,0.400000005960464,0,2557.1201171875,13823.1201171875,11266,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,45,0,1,1,0
"9972",1,1,0,12,NA,10,NA,2912,37,34584,1615,0,0,37856.37890625,12,0.200000002980232,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,37,0,1,1,0
"9977",1,1,0,12,5,7,1955,1776,25,22094.4609375,3769,0,1,43054.4609375,7,0.5,0,0,0,0,0,0,0,0,6,3,21334.66015625,11528,0,0,0,3,32,0,1,1,0
"9978",0,0,1,17,1,13,1931,1840,53,52400,4456,0,1,204360,10,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,12,0,1,NA,1
"9981",0,0,1,17,5,11,1945,42,35,6550,2253,2,NA,95630,8,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,2,0,1,NA,1
