"","male","black","white","edu","birthmonth","h_sentscore1972","birthyear","hours","age","inc_labor","int_id","hhchildren","married","fam_inc","workexp","health","hhdens","inc_unemp","inc_trans_pub","inc_ssi","inc_othwelf","inc_fdstmp","inc_al","inc_afdc","m_edu","f_edu","f_inc_labor","m_inc_labor","m_prison","f_prison","prison","region","state","occ","study","works","head","wife"
"19254",0,0,1,16,NA,12,NA,0,55,0,1673,0,0,91960,12,NA,0.100000001490116,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,12,NA,0,0,1,0
"19256",0,NA,NA,12,NA,8,NA,400,30,6688,2236,2,NA,52835.19921875,11,NA,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,14,NA,0,1,NA,1
"19287",0,0,1,12,2,10,1928,800,48,12540,4039,0,1,119966,10,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,10,NA,0,1,NA,1
"19289",1,0,1,17,10,12,1919,2703,56,231572,3292,0,1,232408,32,NA,0.300000011920929,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,6,33,0,1,1,0
"19298",1,0,1,12,8,12,1932,2400,44,66880,3775,1,1,121220,26,NA,0.600000023841858,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,12,61,0,1,1,0
"19304",1,0,1,12,NA,11,NA,2339,32,45980,4321,3,1,50996,14,NA,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,13,40,0,1,1,0
"19312",1,0,1,14,12,8,1949,2077,26,65835,291,2,1,67820.5,7,2,0.699999988079071,898.700012207031,898.700012207031,0,0,0,0,0,NA,NA,NA,0,0,NA,0,2,24,42,0,1,1,0
"19314",1,0,1,12,11,11,1936,1710,39,62700,5012,5,1,103496.796875,20,3,1.10000002384186,0,0,0,0,0,16720,0,NA,NA,NA,NA,NA,NA,0,3,45,84,0,1,1,0
"19359",1,0,1,16,2,10,1949,3112,27,52668,32,0,1,84227,5,2,0.400000005960464,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,41,87,0,1,1,0
"19360",1,0,1,16,2,12,1925,1984,51,83600,3953,1,0,90288,26,NA,0.400000005960464,0,5016,5016,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,14,32,0,1,1,0
"19375",1,0,1,9,7,8,1948,1200,27,27170,2703,2,1,35112,9,NA,0.800000011920929,2299,9948.400390625,0,0,480,0,1350,NA,NA,NA,NA,NA,NA,0,1,20,NA,0,0,1,0
"19378",1,0,1,16,4,8,1945,270,30,5434,1273,1,1,42753.0390625,5,1,0.400000005960464,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,4,86,0,1,1,0
