"","male","black","white","edu","birthmonth","h_sentscore1972","birthyear","hours","age","inc_labor","int_id","hhchildren","married","fam_inc","workexp","health","inc_wcomp","inc_unemp","inc_trans_pub","inc_ssi","inc_othwelf","inc_fdstmp","inc_ch","inc_afdc","m_edu","f_edu","f_inc_labor","m_inc_labor","m_prison","f_prison","prison","region","state","study","works","head","wife"
"16853",1,1,0,9,5,7,1955,1908,32,16717.169921875,6542,1,1,43932.5703125,5,4,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,19,0,0,1,0
"16862",0,0,1,16,5,11,1951,1743,37,86430,4798,0,NA,127241.0390625,16,2,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,1,31,0,1,NA,1
"16874",1,0,1,12,3,11,1957,2964,31,44220,5667,0,1,75354.8984375,10,2,180.899993896484,0,180.899993896484,0,0,0,0,0,14,NA,NA,30150,0,NA,0,1,31,0,1,1,0
"16887",1,0,1,17,11,11,1940,3185,47,333057,5152,3,1,424914,18,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,1,0,1,1,0
"16893",0,0,1,12,4,6,1956,2218,32,15318.2099609375,2461,2,1,60414.5703125,9,2,0,1857.23999023438,1857.23999023438,0,0,NA,0,0,11,10,45460.171875,12439.8896484375,0,0,0,1,37,0,1,NA,1
"16921",0,0,1,17,11,10,1953,2245,34,96480,732,2,NA,98490,12,1,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,1,37,0,1,NA,1
"16927",1,0,1,12,6,12,1944,2550,43,100902,4613,0,0,101706,24,2,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,32,0,1,1,0
"16933",0,0,1,8,9,9,1937,0,50,0,1185,0,NA,118992,3,3,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,4,5,0,0,NA,1
"16993",1,0,1,12,8,10,1950,2000,37,56280,3722,2,1,112560,17,3,0,0,0,0,0,0,0,0,12,12,13065,24441.599609375,0,0,0,3,10,0,1,1,0
"17017",0,0,1,12,3,10,1943,1902,45,32160,1665,1,1,116660.3984375,14,2,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,1,29,0,1,NA,1
"17029",0,0,1,15,1,11,1956,180,32,8220.900390625,3222,3,1,103314,6,1,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,4,4,0,1,NA,1
"17033",1,0,1,12,3,10,1943,2600,45,48240,1665,1,1,116660.3984375,24,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,29,0,1,1,0
"17035",1,0,1,12,1,12,1928,2116,60,78390,4726,1,1,166594.828125,39,2,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,31,0,1,1,0
"17049",1,0,1,16,6,12,1946,1584,41,6030,4189,2,1,44611.94921875,18,3,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,36,0,1,1,0
"17064",1,0,1,16,8,10,1955,2897,32,72892.6484375,5446,1,1,75626.25,11,2,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,3,0,1,1,0
"17067",0,0,1,16,11,9,1960,627,27,44220,6249,3,NA,108785.21875,5,2,0,0,0,0,0,NA,4196.8798828125,0,NA,NA,NA,NA,NA,NA,0,3,42,0,1,NA,1
"17079",0,0,1,12,6,NA,1962,880,25,9045,4782,2,0,29368.109375,9,2,0,0,0,0,0,0,3015,0,NA,NA,NA,NA,NA,NA,0,3,42,0,1,1,0
"17090",1,0,1,9,7,10,1929,1974,58,37486.5,5759,0,0,40843.19921875,37,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,34,0,1,1,0
"17094",0,0,1,16,1,11,1942,260,46,522.599975585938,4006,1,0,14451.900390625,20,1,0,0,0,0,0,0,8844,0,NA,NA,NA,NA,NA,NA,0,2,12,0,0,1,0
"17095",0,0,1,10,4,10,1937,0,51,0,2065,0,1,49476.1484375,6,2,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,2,13,0,0,NA,1
"17103",1,0,1,14,6,11,1940,1000,47,NA,1431,0,NA,55218.71875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,0,NA,NA,0,0,3,32,0,1,NA,0
"17120",1,0,1,14,7,12,1944,1161,43,39357.80859375,1593,0,1,190861.5625,22,3,0,48240,48240,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,42,0,1,1,0
"17122",1,0,1,13,2,13,1962,2000,26,30150,6057,0,0,30150,5,3,0,0,0,0,0,0,0,0,17,17,172265.046875,0,0,0,0,4,43,0,1,1,0
