"","male","black","white","edu","birthmonth","h_sentscore1972","birthyear","birthstate","hours","age","inc_labor","int_id","hhchildren","married","fam_inc","workexp","health","inc_wcomp","inc_unemp","inc_trans_pub","inc_ssi","inc_othwelf","inc_fdstmp","inc_ch","inc_afdc","m_edu","f_edu","f_inc_labor","m_inc_labor","m_prison","f_prison","prison","region","state","study","works","head","wife"
"57950",0,0,1,16,9,10,1961,37,1728,31,33000,5510,2,1,117150,6,2,0,0,0,0,0,NA,0,0,17,17,33000,33000,0,0,0,1,29,0,1,NA,1
"57959",1,0,1,12,8,10,1954,34,2550,38,11550,5179,1,1,117150,13,2,0,0,0,0,0,0,0,0,12,13,0,41250,0,0,0,2,34,0,1,1,0
"57961",1,0,1,9,6,4,1950,NA,NA,42,NA,6391,0,0,28653.900390625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,0,0,NA,0,1,29,0,1,NA,0
"58002",1,0,1,12,11,9,1966,4,1866,26,29700,246,0,1,67650,8,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,4,0,0,1,0
"58024",0,0,1,14,2,11,1947,NA,2080,46,17325,5131,0,NA,187605,6,3,0,0,0,0,0,NA,11880,0,NA,NA,NA,NA,NA,NA,0,2,24,0,1,NA,1
"58029",1,0,1,12,7,10,1962,22,2010,30,31185,5141,0,0,31185,5,1,0,0,0,0,0,0,0,0,15,17,18975,0,0,0,0,2,22,0,1,1,0
"58031",1,1,0,13,5,8,1957,19,2373,36,84942,3611,0,1,115302,9,3,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,8,0,1,1,0
"58032",0,0,1,12,4,9,1964,37,0,29,0,6013,2,1,79200,7,2,0,0,0,0,0,NA,0,0,8,12,0,0,0,0,0,1,37,0,0,NA,1
"58057",1,1,0,12,12,2,1950,NA,NA,42,0,9977,0,0,13688.400390625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,3927,0,NA,0,3,3,0,0,NA,0
"58072",1,0,1,12,9,10,1964,5,1083,28,5610,3884,0,0,5610,2,1,0,0,0,0,0,0,0,0,14,8,13200,13200,0,0,0,2,40,0,1,1,0
"58084",1,0,1,17,7,11,1958,12,2540,34,92317.5,2039,0,1,183757.203125,1,2,0,0,0,0,0,0,0,0,12,16,0,0,0,0,0,4,46,0,1,1,0
"58087",0,0,1,12,5,11,1960,16,2448,33,20625,7792,2,NA,78507,15,1,0,0,0,0,0,NA,3432,0,NA,NA,NA,NA,NA,NA,0,3,16,0,1,NA,1
"58095",1,0,1,16,5,11,1958,13,1888,35,107250,3471,2,1,151486.5,NA,2,0,0,0,0,0,0,0,0,NA,12,0,NA,NA,0,0,2,12,0,1,1,0
"58111",0,0,0,14,8,9,1966,9,1575,26,32835,4201,0,0,39435,5,2,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,10,0,1,1,0
"58121",1,0,1,12,9,11,1950,NA,3250,43,0,8035,0,1,75900,25,1,0,0,0,0,0,0,0,0,12,13,0,0,0,0,0,1,29,0,1,1,0
"58130",0,0,1,12,6,12,1947,NA,0,46,0,7415,0,1,86460,NA,4,0,0,17325,17325,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,3,19,0,0,NA,1
"58165",1,0,1,12,5,9,1968,13,2048,25,42900,9736,0,1,85800,1,2,0,0,0,0,0,0,0,0,12,12,39600,16500,0,0,0,2,48,0,1,1,0
"58192",1,0,1,12,6,8,1951,48,3840,42,260700,210,2,1,312262.5,15,2,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,48,0,1,1,0
"58251",0,0,1,16,2,10,1958,4,0,35,0,2584,1,NA,30617.400390625,5,4,0,0,0,0,0,NA,3326.39990234375,0,11,11,16830,0,0,0,0,4,4,0,0,NA,1
"58253",0,0,1,12,6,8,1957,22,2080,36,27324,1379,3,1,51348,1,2,0,0,0,0,0,NA,0,0,8,9,792,0,0,0,0,2,22,0,1,NA,1
"58271",1,0,1,12,10,NA,1947,NA,2080,45,37950,6238,1,1,37950,26,2,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,32,0,1,1,0
