"","male","black","white","edu","birthmonth","h_sentscore1972","birthyear","birthstate","hours","age","inc_labor","int_id","hhchildren","married","fam_inc","hhdens","inc_unemp","inc_trans_pub","inc_ssi","inc_othwelf","inc_fdstmp","inc_al","inc_afdc","m_edu","f_edu","f_inc_labor","m_inc_labor","m_prison","f_prison","prison","region","state","med15","occ","study","works","head","wife"
"4693",1,0,1,11,6,11,1928,NA,1824,42,43512,466,1,1,46522.55859375,0.600000023841858,3010.56005859375,5915.27978515625,0,0,494,0,0,NA,NA,NA,NA,NA,NA,0,2,21,NA,32,0,1,1,0
"4696",1,0,1,8,12,10,1917,NA,2496,53,34709.640625,4426,0,1,69295.796875,0.5,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,24,NA,11,0,1,1,0
"4768",1,1,0,11,11,7,1936,NA,3672,33,30576,2520,3,1,37308.6015625,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,3,NA,61,0,1,1,0
"4801",0,0,1,13,6,7,1940,NA,0,30,0,3945,6,NA,36861.71875,1.29999995231628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,22,NA,NA,NA,NA,NA,1
"4818",0,0,1,12,3,8,1933,NA,1860,38,38220,1678,2,1,90504.9609375,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,45,NA,NA,NA,NA,NA,1
"4842",1,0,1,8,NA,6,NA,NA,2700,58,34368.6015625,3771,2,1,60611.0390625,0.800000011920929,0,6838.43994140625,0,0,0,1470,1163,NA,NA,NA,NA,NA,NA,0,2,26,NA,61,0,1,1,0
"4857",1,0,1,14,10,11,1945,NA,310,25,NA,3582,0,NA,36573.6015625,0.5,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,14629.4404296875,0,NA,0,4,4,NA,NA,NA,NA,NA,0
"4858",1,0,1,12,9,8,1914,NA,2016,57,41160,1229,0,1,41495.16015625,0.400000005960464,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,29,NA,40,0,1,1,0
"4861",0,0,1,12,6,6,1918,NA,2000,52,16816.80078125,3771,2,NA,60611.0390625,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,26,NA,NA,NA,NA,NA,1
"4876",0,0,1,12,5,11,1943,NA,2000,28,24319.6796875,3965,1,1,51367.6796875,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,23,NA,NA,NA,NA,NA,1
"4886",0,1,0,9,9,9,1913,NA,1050,57,23520,2172,0,NA,70560,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,12,NA,NA,NA,NA,NA,1
"4907",0,0,1,11,5,12,1913,NA,0,57,0,2178,0,1,39925.19921875,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,34,NA,NA,NA,NA,NA,1
"4920",1,0,1,12,5,10,1921,NA,3120,50,51802.80078125,602,3,1,87024,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,14,NA,11,0,1,1,0
"4961",0,0,1,17,7,12,1931,NA,750,39,22226.400390625,532,2,1,138144.71875,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,NA,NA,NA,NA,NA,1
"4967",0,0,1,8,NA,7,NA,NA,1824,46,21761.880859375,555,1,0,25289.880859375,0.300000011920929,3528,3528,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,4,NA,31,0,1,1,0
"4987",1,0,1,10,7,7,1917,NA,1856,54,57624,2370,1,1,81320.3984375,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,21,NA,92,0,1,1,0
"5082",1,0,1,12,NA,12,NA,NA,3000,41,17640,1517,0,1,82320,0.5,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,5,NA,81,0,1,1,0
"5085",0,0,1,13,12,12,1911,NA,2000,59,21168,2159,0,1,62328,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,42,NA,NA,NA,NA,NA,1
"5097",0,0,1,12,10,12,1937,NA,0,33,0,1808,2,1,61740,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,16,NA,NA,NA,NA,NA,1
"5121",1,0,1,12,5,12,1929,NA,1960,42,82320,1662,3,1,102900,0.899999976158142,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,13,NA,85,0,1,1,0
"5142",0,0,1,10,6,11,1929,NA,0,41,0,1491,2,NA,62045.76171875,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,9,NA,NA,NA,NA,NA,1
"5144",0,0,1,12,4,13,1934,NA,0,36,0,1396,4,1,83496,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,21,NA,NA,NA,NA,NA,1
"5163",1,0,1,16,4,12,1945,NA,1440,25,26460,2894,0,0,26477.640625,0.100000001490116,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,28,NA,83,0,1,1,0
"5191",1,0,1,10,12,11,1926,NA,2000,44,51156,2756,1,1,86436,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,6,2,32,0,1,1,0
"5300",0,0,1,17,11,11,1931,NA,0,39,0,1349,2,1,110191.203125,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,21,NA,NA,NA,NA,NA,1
"5301",0,0,1,12,4,8,1936,NA,2000,35,23520,401,1,1,49980,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,32,NA,NA,NA,NA,NA,1
"5347",0,0,1,10,2,11,1942,NA,0,31,0,4801,3,0,47404.55859375,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,3,NA,NA,0,0,1,0
"5366",1,0,1,12,1,10,1934,NA,2650,37,74676,966,4,1,87024,0.899999976158142,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,18,NA,55,0,1,1,0
"5377",1,0,1,10,12,11,1910,NA,600,60,11760,1527,0,1,51444.12109375,0.600000023841858,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,4,4,NA,0,0,1,0
"5380",0,1,0,12,11,9,1941,NA,899,29,20356.560546875,1331,5,NA,62580.83984375,0.899999976158142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,29,NA,NA,NA,NA,NA,1
"5382",0,0,1,15,7,9,1942,NA,1875,28,25872,4182,0,1,74617.203125,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,37,NA,NA,NA,NA,NA,1
"5407",0,0,1,14,7,11,1913,NA,1950,58,35280,969,0,NA,83790,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,20,NA,NA,NA,NA,NA,1
"5478",1,0,1,7,6,10,1913,NA,1296,57,23520,212,0,0,23520,0.5,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,4,1,84,0,1,1,0
"5487",0,0,1,9,11,10,1939,NA,0,32,0,1828,3,1,35868,1.20000004768372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,32,NA,NA,NA,NA,NA,1
"5586",0,0,1,12,7,10,1913,NA,90,57,588,3851,0,1,24137.400390625,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,5,NA,NA,NA,NA,NA,1
"5638",0,0,1,14,10,11,1928,NA,270,42,11760,848,2,1,136886.40625,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,46,NA,NA,NA,NA,NA,1
"5689",1,0,1,17,4,12,1938,NA,3760,32,76440,3642,2,1,78204,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,37,NA,91,0,1,1,0
"5695",0,0,1,17,7,12,1938,NA,720,33,17640,2134,2,1,82320,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,13,NA,NA,NA,NA,NA,1
"5712",1,0,1,16,2,11,1921,NA,1808,50,48216,4642,3,1,79956.2421875,1,223.440002441406,223.440002441406,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,36,NA,55,0,1,1,0
"5715",0,0,1,14,1,10,1936,NA,0,35,0,735,2,0,41748,0.400000005960464,0,0,0,0,0,36750,0,NA,NA,NA,NA,NA,NA,0,2,22,NA,NA,0,0,1,0
"5743",1,0,1,17,2,9,1934,NA,2107,37,120540,3397,4,1,122598,0.699999988079071,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,4,NA,87,0,1,1,0
"5784",0,0,1,12,9,10,1928,NA,1896,42,24060.9609375,755,3,0,48368.87890625,0.699999988079071,0,11471.8798828125,0,0,0,4410,1951,NA,NA,NA,NA,NA,NA,0,2,40,NA,92,0,1,1,0
"5787",1,0,1,12,5,9,1912,NA,1904,58,48686.3984375,1709,0,1,48686.3984375,0.400000005960464,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,20,NA,86,0,1,1,0
"5809",1,0,1,14,4,10,1924,NA,1930,46,76440,3725,0,1,114660,0.300000011920929,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,45,NA,92,0,1,1,0
"5810",0,0,1,11,8,9,1932,NA,28,38,529.200012207031,3185,3,1,43453.19921875,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,32,NA,NA,NA,NA,NA,1
"5841",1,0,1,12,8,8,1941,NA,2080,30,22285.19921875,1625,3,1,32340,0.800000011920929,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,41,NA,71,0,1,1,0
"5850",0,0,1,12,10,9,1935,NA,2000,36,41160,1444,2,1,88200,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,43,NA,NA,NA,NA,NA,1
"5861",1,0,1,12,NA,11,NA,NA,NA,26,NA,4551,0,NA,42624.12109375,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,9,NA,NA,NA,NA,NA,0
"5868",1,0,1,16,3,10,1946,NA,390,25,10237.080078125,297,0,1,49980,0.5,0,0,0,0,0,0,0,11,5,29400,11760,0,0,0,3,32,NA,NA,1,0,1,0
"5947",0,1,0,9,5,8,1921,NA,360,50,882,3188,0,1,27342,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,32,NA,NA,NA,NA,NA,1
"5963",1,0,1,16,4,10,1919,NA,2400,52,88200,2103,1,1,171696,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,6,NA,33,0,1,1,0
"5973",0,1,0,11,1,7,1924,NA,1040,47,3457.43994140625,3372,2,1,52261.44140625,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,32,NA,NA,NA,NA,NA,1
"5983",1,0,1,12,12,8,1945,NA,2540,25,23520,2158,1,1,23520,0.699999988079071,0,0,0,0,0,0,0,12,4,122480.3984375,0,0,0,0,3,42,NA,81,0,1,1,0
