"birthyear","birthmonth","f_id","black","white","id","male","h_sentscore1972","birthstate","inc_labor","hours","edu","hhchildren","married","fam_inc","works","age","state","f_edu","m_edu","f_inc_labor","m_inc_labor","region","state","study","head","wife"
1956,2,5569001,1,0,5569006,1,6,32,NA,NA,NA,9,0,22982.400390625,NA,12,32,6,8,20520,0,3,32,NA,0,0
1964,12,NA,1,0,5569011,0,6,32,NA,NA,NA,9,NA,22982.400390625,NA,3,32,NA,8,NA,0,3,32,NA,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1953,6,5569001,1,0,5569004,0,9,32,NA,NA,NA,9,NA,22982.400390625,NA,15,32,6,8,20520,0,3,32,NA,0,0
1962,11,5569001,1,0,5569010,0,6,32,NA,NA,NA,9,NA,22982.400390625,NA,5,32,6,8,20520,0,3,32,NA,0,0
1960,7,5569001,1,0,5569008,0,6,32,NA,NA,NA,9,NA,22982.400390625,NA,8,32,6,8,20520,0,3,32,NA,0,0
1957,7,5569001,1,0,5569007,0,6,32,NA,NA,NA,9,0,22982.400390625,NA,11,32,6,8,20520,0,3,32,NA,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1961,8,5570001,1,0,5570012,1,8,32,NA,NA,NA,9,NA,35273.87890625,NA,4,32,8,9,30212.279296875,102.599998474121,3,32,NA,0,0
1965,4,5570001,1,0,5570013,1,8,32,NA,NA,NA,9,0,35273.87890625,NA,3,32,8,9,30212.279296875,102.599998474121,3,32,NA,0,0
1953,5,5570001,1,0,5570005,0,9,32,NA,NA,NA,9,NA,35273.87890625,NA,14,32,8,9,30212.279296875,102.599998474121,3,32,NA,0,0
1955,5,5570001,1,0,5570006,1,8,32,NA,NA,NA,9,NA,35273.87890625,NA,12,32,8,9,30212.279296875,102.599998474121,3,32,NA,0,0
1951,11,5570001,1,0,5570004,0,8,32,NA,NA,NA,9,NA,35273.87890625,NA,16,32,8,9,30212.279296875,102.599998474121,3,32,NA,0,0
1961,2,5570001,1,0,5570010,1,8,32,NA,NA,NA,9,NA,35273.87890625,NA,7,32,8,9,30212.279296875,102.599998474121,3,32,NA,0,0
1957,1,5570001,1,0,5570007,1,8,32,NA,NA,NA,9,NA,35273.87890625,NA,11,32,8,9,30212.279296875,102.599998474121,3,32,NA,0,0
1962,6,5570001,1,0,5570011,0,8,32,NA,NA,NA,9,NA,35273.87890625,NA,5,32,8,9,30212.279296875,102.599998474121,3,32,NA,0,0
1959,7,5570001,1,0,5570009,1,8,32,NA,NA,NA,9,0,35273.87890625,NA,8,32,8,9,30212.279296875,102.599998474121,3,32,NA,0,0
1950,3,5570001,1,0,5570003,0,NA,32,NA,440,NA,9,NA,35273.87890625,NA,18,32,8,9,30212.279296875,102.599998474121,3,32,NA,0,0
1958,8,5570001,1,0,5570008,1,8,32,NA,NA,NA,9,NA,35273.87890625,NA,9,32,8,9,30212.279296875,102.599998474121,3,32,NA,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
